Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"0,00","9.044,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2010,"1,00","9.116,00","10,97"
Tasa de intento de suicidio,Femenino,Total,2011,"2,00","9.165,00","21,82"
Tasa de intento de suicidio,Femenino,Total,2012,"4,00","9.220,00","43,38"
Tasa de intento de suicidio,Femenino,Total,2013,"1,00","9.267,00","10,79"
Tasa de intento de suicidio,Femenino,Total,2014,"5,00","9.309,00","53,71"
Tasa de intento de suicidio,Femenino,Total,2015,"0,00","9.360,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2016,"14,00","9.405,00","148,86"
Tasa de intento de suicidio,Femenino,Total,2017,"10,00","9.451,00","105,81"
Tasa de intento de suicidio,Femenino,Total,2018,"14,00","9.490,00","147,52"
Tasa de intento de suicidio,Femenino,Total,2019,"10,00","11.105,00","90,05"
Tasa de intento de suicidio,Femenino,Total,2020,"12,00","11.338,00","105,84"
Tasa de intento de suicidio,Femenino,Total,2021,"23,00","11.536,00","199,38"
Tasa de intento de suicidio,Femenino,Total,2022,"31,00","11.555,00","268,28"
Tasa de intento de suicidio,Femenino,Total,2023,"30,00","11.668,00","257,11"
Tasa de intento de suicidio,Masculino,Total,2009,"1,00","9.392,00","10,65"
Tasa de intento de suicidio,Masculino,Total,2010,"0,00","9.448,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2011,"1,00","9.510,00","10,52"
Tasa de intento de suicidio,Masculino,Total,2012,"2,00","9.573,00","20,89"
Tasa de intento de suicidio,Masculino,Total,2013,"2,00","9.638,00","20,75"
Tasa de intento de suicidio,Masculino,Total,2014,"0,00","9.701,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2015,"1,00","9.759,00","10,25"
Tasa de intento de suicidio,Masculino,Total,2016,"6,00","9.824,00","61,07"
Tasa de intento de suicidio,Masculino,Total,2017,"10,00","9.873,00","101,29"
Tasa de intento de suicidio,Masculino,Total,2018,"12,00","9.923,00","120,93"
Tasa de intento de suicidio,Masculino,Total,2019,"10,00","10.858,00","92,10"
Tasa de intento de suicidio,Masculino,Total,2020,"8,00","11.053,00","72,38"
Tasa de intento de suicidio,Masculino,Total,2021,"5,00","11.206,00","44,62"
Tasa de intento de suicidio,Masculino,Total,2022,"10,00","11.137,00","89,79"
Tasa de intento de suicidio,Masculino,Total,2023,"17,00","11.202,00","151,76"
Tasa de intento de suicidio,Total,De 0 a 04 años,2009,"0,00","1.919,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2010,"0,00","1.872,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2011,"0,00","1.860,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2012,"0,00","1.853,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2013,"0,00","1.848,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2014,"0,00","1.844,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2015,"0,00","1.842,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2016,"0,00","1.841,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2017,"0,00","1.836,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2018,"0,00","1.828,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2019,"0,00","1.594,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2020,"0,00","1.605,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2021,"0,00","1.603,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2022,"0,00","1.524,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2023,"0,00","1.491,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2009,"0,00","1.862,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2010,"0,00","1.894,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2011,"0,00","1.891,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2012,"0,00","1.878,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2013,"0,00","1.858,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2014,"0,00","1.831,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2015,"0,00","1.787,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2016,"0,00","1.782,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2017,"0,00","1.781,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2018,"0,00","1.776,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2019,"0,00","1.653,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2020,"1,00","1.670,00","59,88"
Tasa de intento de suicidio,Total,De 05 a 09 años,2021,"0,00","1.676,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2022,"0,00","1.647,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2023,"0,00","1.652,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2009,"0,00","1.809,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2010,"0,00","1.781,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2011,"0,00","1.766,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2012,"2,00","1.760,00","113,64"
Tasa de intento de suicidio,Total,De 10 a 14 años,2013,"0,00","1.767,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2014,"1,00","1.785,00","56,02"
Tasa de intento de suicidio,Total,De 10 a 14 años,2015,"0,00","1.816,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2016,"3,00","1.823,00","164,56"
Tasa de intento de suicidio,Total,De 10 a 14 años,2017,"2,00","1.823,00","109,71"
Tasa de intento de suicidio,Total,De 10 a 14 años,2018,"7,00","1.815,00","385,67"
Tasa de intento de suicidio,Total,De 10 a 14 años,2019,"3,00","1.770,00","169,49"
Tasa de intento de suicidio,Total,De 10 a 14 años,2020,"0,00","1.775,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2021,"3,00","1.778,00","168,73"
Tasa de intento de suicidio,Total,De 10 a 14 años,2022,"8,00","1.725,00","463,77"
Tasa de intento de suicidio,Total,De 10 a 14 años,2023,"5,00","1.718,00","291,04"
Tasa de intento de suicidio,Total,De 15 a 19 años,2009,"0,00","1.891,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2010,"1,00","1.887,00","52,99"
Tasa de intento de suicidio,Total,De 15 a 19 años,2011,"1,00","1.868,00","53,53"
