Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"1,00","24.081,00","4,15"
Tasa de intento de suicidio,Femenino,Total,2010,"2,00","24.469,00","8,17"
Tasa de intento de suicidio,Femenino,Total,2011,"2,00","24.872,00","8,04"
Tasa de intento de suicidio,Femenino,Total,2012,"2,00","25.271,00","7,91"
Tasa de intento de suicidio,Femenino,Total,2013,"2,00","25.679,00","7,79"
Tasa de intento de suicidio,Femenino,Total,2014,"3,00","26.080,00","11,50"
Tasa de intento de suicidio,Femenino,Total,2015,"2,00","26.484,00","7,55"
Tasa de intento de suicidio,Femenino,Total,2016,"18,00","26.890,00","66,94"
Tasa de intento de suicidio,Femenino,Total,2017,"25,00","27.298,00","91,58"
Tasa de intento de suicidio,Femenino,Total,2018,"26,00","27.699,00","93,87"
Tasa de intento de suicidio,Femenino,Total,2019,"36,00","33.684,00","106,88"
Tasa de intento de suicidio,Femenino,Total,2020,"20,00","34.510,00","57,95"
Tasa de intento de suicidio,Femenino,Total,2021,"12,00","35.118,00","34,17"
Tasa de intento de suicidio,Femenino,Total,2022,"30,00","35.129,00","85,40"
Tasa de intento de suicidio,Femenino,Total,2023,"36,00","35.527,00","101,33"
Tasa de intento de suicidio,Masculino,Total,2009,"1,00","24.504,00","4,08"
Tasa de intento de suicidio,Masculino,Total,2010,"0,00","24.892,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2011,"1,00","25.289,00","3,95"
Tasa de intento de suicidio,Masculino,Total,2012,"1,00","25.684,00","3,89"
Tasa de intento de suicidio,Masculino,Total,2013,"4,00","26.088,00","15,33"
Tasa de intento de suicidio,Masculino,Total,2014,"4,00","26.479,00","15,11"
Tasa de intento de suicidio,Masculino,Total,2015,"1,00","26.890,00","3,72"
Tasa de intento de suicidio,Masculino,Total,2016,"14,00","27.296,00","51,29"
Tasa de intento de suicidio,Masculino,Total,2017,"13,00","27.702,00","46,93"
Tasa de intento de suicidio,Masculino,Total,2018,"11,00","28.099,00","39,15"
Tasa de intento de suicidio,Masculino,Total,2019,"17,00","32.715,00","51,96"
Tasa de intento de suicidio,Masculino,Total,2020,"13,00","33.383,00","38,94"
Tasa de intento de suicidio,Masculino,Total,2021,"12,00","33.842,00","35,46"
Tasa de intento de suicidio,Masculino,Total,2022,"14,00","33.609,00","41,66"
Tasa de intento de suicidio,Masculino,Total,2023,"27,00","33.816,00","79,84"
Tasa de intento de suicidio,Total,De 0 a 04 años,2009,"0,00","5.161,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2010,"0,00","5.082,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2011,"0,00","5.123,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2012,"0,00","5.171,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2013,"0,00","5.219,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2014,"0,00","5.271,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2015,"0,00","5.316,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2016,"0,00","5.364,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2017,"0,00","5.398,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2018,"0,00","5.418,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2019,"0,00","5.145,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2020,"0,00","5.211,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2021,"0,00","5.212,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2022,"0,00","4.945,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2023,"0,00","4.847,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2009,"0,00","4.968,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2010,"0,00","5.168,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2011,"0,00","5.258,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2012,"0,00","5.336,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2013,"0,00","5.384,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2014,"0,00","5.380,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2015,"0,00","5.300,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2016,"0,00","5.357,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2017,"0,00","5.419,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2018,"0,00","5.477,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2019,"0,00","5.037,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2020,"0,00","5.094,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2021,"0,00","5.120,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2022,"0,00","5.057,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2023,"0,00","5.057,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2009,"0,00","5.117,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2010,"0,00","4.996,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2011,"0,00","4.918,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2012,"1,00","4.889,00","20,45"
Tasa de intento de suicidio,Total,De 10 a 14 años,2013,"1,00","4.925,00","20,30"
Tasa de intento de suicidio,Total,De 10 a 14 años,2014,"0,00","5.038,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2015,"1,00","5.248,00","19,05"
Tasa de intento de suicidio,Total,De 10 a 14 años,2016,"2,00","5.370,00","37,24"
Tasa de intento de suicidio,Total,De 10 a 14 años,2017,"7,00","5.479,00","127,76"
Tasa de intento de suicidio,Total,De 10 a 14 años,2018,"6,00","5.554,00","108,03"
Tasa de intento de suicidio,Total,De 10 a 14 años,2019,"3,00","5.064,00","59,24"
Tasa de intento de suicidio,Total,De 10 a 14 años,2020,"3,00","5.084,00","59,01"
Tasa de intento de suicidio,Total,De 10 a 14 años,2021,"5,00","5.078,00","98,46"
Tasa de intento de suicidio,Total,De 10 a 14 años,2022,"6,00","4.960,00","120,97"
Tasa de intento de suicidio,Total,De 10 a 14 años,2023,"4,00","4.950,00","80,81"
