Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"1,00","7.728,00","12,94"
Tasa de intento de suicidio,Femenino,Total,2010,"0,00","7.802,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2011,"0,00","7.887,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2012,"1,00","7.971,00","12,55"
Tasa de intento de suicidio,Femenino,Total,2013,"0,00","8.054,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2014,"0,00","8.149,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2015,"0,00","8.249,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2016,"3,00","8.336,00","35,99"
Tasa de intento de suicidio,Femenino,Total,2017,"2,00","8.436,00","23,71"
Tasa de intento de suicidio,Femenino,Total,2018,"6,00","8.536,00","70,29"
Tasa de intento de suicidio,Femenino,Total,2019,"3,00","4.893,00","61,31"
Tasa de intento de suicidio,Femenino,Total,2020,"1,00","4.864,00","20,56"
Tasa de intento de suicidio,Femenino,Total,2021,"6,00","4.943,00","121,38"
Tasa de intento de suicidio,Femenino,Total,2022,"5,00","5.212,00","95,93"
Tasa de intento de suicidio,Femenino,Total,2023,"2,00","5.260,00","38,02"
Tasa de intento de suicidio,Masculino,Total,2009,"0,00","8.482,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2010,"0,00","8.577,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2011,"0,00","8.666,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2012,"0,00","8.759,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2013,"0,00","8.859,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2014,"0,00","8.950,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2015,"0,00","9.042,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2016,"2,00","9.150,00","21,86"
Tasa de intento de suicidio,Masculino,Total,2017,"2,00","9.250,00","21,62"
Tasa de intento de suicidio,Masculino,Total,2018,"2,00","9.355,00","21,38"
Tasa de intento de suicidio,Masculino,Total,2019,"3,00","5.104,00","58,78"
Tasa de intento de suicidio,Masculino,Total,2020,"0,00","5.083,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2021,"1,00","5.158,00","19,39"
Tasa de intento de suicidio,Masculino,Total,2022,"3,00","5.417,00","55,38"
Tasa de intento de suicidio,Masculino,Total,2023,"3,00","5.463,00","54,91"
Tasa de intento de suicidio,Total,De 0 a 04 años,2009,"0,00","1.737,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2010,"0,00","1.765,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2011,"0,00","1.777,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2012,"0,00","1.790,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2013,"0,00","1.806,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2014,"0,00","1.820,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2015,"0,00","1.839,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2016,"0,00","1.855,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2017,"0,00","1.874,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2018,"0,00","1.887,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2019,"0,00","802,00","0,00"
