Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"0,00","8.135,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2010,"0,00","8.118,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2011,"0,00","8.102,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2012,"1,00","8.080,00","12,38"
Tasa de intento de suicidio,Femenino,Total,2013,"0,00","8.064,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2014,"0,00","8.042,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2015,"2,00","8.022,00","24,93"
Tasa de intento de suicidio,Femenino,Total,2016,"3,00","8.002,00","37,49"
Tasa de intento de suicidio,Femenino,Total,2017,"6,00","7.984,00","75,15"
Tasa de intento de suicidio,Femenino,Total,2018,"2,00","7.959,00","25,13"
Tasa de intento de suicidio,Femenino,Total,2019,"5,00","10.959,00","45,62"
Tasa de intento de suicidio,Femenino,Total,2020,"10,00","11.132,00","89,83"
Tasa de intento de suicidio,Femenino,Total,2021,"12,00","11.303,00","106,17"
Tasa de intento de suicidio,Femenino,Total,2022,"11,00","11.369,00","96,75"
Tasa de intento de suicidio,Femenino,Total,2023,"14,00","11.477,00","121,98"
Tasa de intento de suicidio,Masculino,Total,2009,"0,00","8.011,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2010,"0,00","7.992,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2011,"0,00","7.968,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2012,"1,00","7.940,00","12,59"
Tasa de intento de suicidio,Masculino,Total,2013,"0,00","7.921,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2014,"2,00","7.895,00","25,33"
Tasa de intento de suicidio,Masculino,Total,2015,"0,00","7.867,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2016,"1,00","7.846,00","12,75"
Tasa de intento de suicidio,Masculino,Total,2017,"2,00","7.818,00","25,58"
Tasa de intento de suicidio,Masculino,Total,2018,"4,00","7.787,00","51,37"
Tasa de intento de suicidio,Masculino,Total,2019,"2,00","10.468,00","19,11"
Tasa de intento de suicidio,Masculino,Total,2020,"5,00","10.637,00","47,01"
Tasa de intento de suicidio,Masculino,Total,2021,"4,00","10.804,00","37,02"
Tasa de intento de suicidio,Masculino,Total,2022,"15,00","10.848,00","138,27"
Tasa de intento de suicidio,Masculino,Total,2023,"13,00","10.933,00","118,91"
Tasa de intento de suicidio,Total,De 0 a 04 años,2009,"0,00","1.629,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2010,"0,00","1.625,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2011,"0,00","1.607,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2012,"0,00","1.595,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2013,"0,00","1.587,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2014,"0,00","1.578,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2015,"0,00","1.569,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2016,"0,00","1.564,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2017,"0,00","1.552,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2018,"0,00","1.536,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2019,"0,00","1.639,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2020,"0,00","1.652,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2021,"0,00","1.652,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2022,"0,00","1.582,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2023,"0,00","1.553,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2009,"0,00","1.684,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2010,"0,00","1.617,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2011,"0,00","1.572,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2012,"0,00","1.534,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2013,"0,00","1.506,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2014,"0,00","1.491,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2015,"0,00","1.485,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2016,"0,00","1.476,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2017,"0,00","1.468,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2018,"0,00","1.460,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2019,"0,00","1.605,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2020,"0,00","1.616,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2021,"0,00","1.628,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2022,"0,00","1.612,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2023,"0,00","1.615,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2009,"0,00","1.770,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2010,"0,00","1.724,00","0,00"
