Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"0,00","54.495,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2010,"1,00","55.497,00","1,80"
Tasa de intento de suicidio,Femenino,Total,2011,"3,00","56.486,00","5,31"
Tasa de intento de suicidio,Femenino,Total,2012,"6,00","57.490,00","10,44"
Tasa de intento de suicidio,Femenino,Total,2013,"3,00","58.494,00","5,13"
Tasa de intento de suicidio,Femenino,Total,2014,"6,00","59.493,00","10,09"
Tasa de intento de suicidio,Femenino,Total,2015,"5,00","60.498,00","8,26"
Tasa de intento de suicidio,Femenino,Total,2016,"36,00","61.492,00","58,54"
Tasa de intento de suicidio,Femenino,Total,2017,"72,00","62.489,00","115,22"
Tasa de intento de suicidio,Femenino,Total,2018,"88,00","63.490,00","138,60"
Tasa de intento de suicidio,Femenino,Total,2019,"80,00","71.166,00","112,41"
Tasa de intento de suicidio,Femenino,Total,2020,"72,00","72.888,00","98,78"
Tasa de intento de suicidio,Femenino,Total,2021,"79,00","74.009,00","106,74"
Tasa de intento de suicidio,Femenino,Total,2022,"133,00","73.702,00","180,46"
Tasa de intento de suicidio,Femenino,Total,2023,"152,00","74.346,00","204,45"
Tasa de intento de suicidio,Masculino,Total,2009,"4,00","53.861,00","7,43"
Tasa de intento de suicidio,Masculino,Total,2010,"1,00","54.832,00","1,82"
Tasa de intento de suicidio,Masculino,Total,2011,"3,00","55.818,00","5,37"
Tasa de intento de suicidio,Masculino,Total,2012,"2,00","56.809,00","3,52"
Tasa de intento de suicidio,Masculino,Total,2013,"1,00","57.795,00","1,73"
Tasa de intento de suicidio,Masculino,Total,2014,"4,00","58.771,00","6,81"
Tasa de intento de suicidio,Masculino,Total,2015,"3,00","59.751,00","5,02"
Tasa de intento de suicidio,Masculino,Total,2016,"21,00","60.739,00","34,57"
Tasa de intento de suicidio,Masculino,Total,2017,"32,00","61.730,00","51,84"
Tasa de intento de suicidio,Masculino,Total,2018,"41,00","62.703,00","65,39"
