Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"0,00","7.904,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2010,"0,00","7.913,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2011,"0,00","7.934,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2012,"0,00","7.946,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2013,"0,00","7.969,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2014,"0,00","7.974,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2015,"0,00","7.989,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2016,"4,00","8.001,00","49,99"
Tasa de intento de suicidio,Femenino,Total,2017,"5,00","8.026,00","62,30"
Tasa de intento de suicidio,Femenino,Total,2018,"4,00","8.043,00","49,73"
Tasa de intento de suicidio,Femenino,Total,2019,"3,00","7.839,00","38,27"
Tasa de intento de suicidio,Femenino,Total,2020,"2,00","7.758,00","25,78"
Tasa de intento de suicidio,Femenino,Total,2021,"2,00","7.873,00","25,40"
Tasa de intento de suicidio,Femenino,Total,2022,"1,00","8.195,00","12,20"
Tasa de intento de suicidio,Femenino,Total,2023,"7,00","8.261,00","84,74"
Tasa de intento de suicidio,Masculino,Total,2009,"0,00","7.991,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2010,"0,00","8.005,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2011,"0,00","8.017,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2012,"0,00","8.030,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2013,"0,00","8.039,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2014,"0,00","8.062,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2015,"1,00","8.075,00","12,38"
Tasa de intento de suicidio,Masculino,Total,2016,"1,00","8.085,00","12,37"
Tasa de intento de suicidio,Masculino,Total,2017,"2,00","8.085,00","24,74"
Tasa de intento de suicidio,Masculino,Total,2018,"3,00","8.089,00","37,09"
Tasa de intento de suicidio,Masculino,Total,2019,"2,00","8.101,00","24,69"
Tasa de intento de suicidio,Masculino,Total,2020,"1,00","8.053,00","12,42"
Tasa de intento de suicidio,Masculino,Total,2021,"0,00","8.183,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2022,"2,00","8.492,00","23,55"
Tasa de intento de suicidio,Masculino,Total,2023,"2,00","8.577,00","23,32"
Tasa de intento de suicidio,Total,De 0 a 04 años,2009,"0,00","1.615,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2010,"0,00","1.560,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2011,"0,00","1.548,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2012,"0,00","1.536,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2013,"0,00","1.525,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2014,"0,00","1.510,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2015,"0,00","1.497,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2016,"0,00","1.481,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2017,"0,00","1.462,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2018,"0,00","1.442,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2019,"0,00","1.308,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2020,"0,00","1.283,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2021,"0,00","1.281,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2022,"0,00","1.274,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2023,"0,00","1.246,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2009,"0,00","1.537,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2010,"0,00","1.573,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2011,"0,00","1.575,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2012,"0,00","1.575,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2013,"0,00","1.565,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2014,"0,00","1.537,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2015,"0,00","1.490,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2016,"0,00","1.481,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2017,"0,00","1.475,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2018,"0,00","1.465,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2019,"0,00","1.342,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2020,"0,00","1.323,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2021,"1,00","1.331,00","75,13"
Tasa de intento de suicidio,Total,De 05 a 09 años,2022,"0,00","1.357,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2023,"0,00","1.360,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2009,"0,00","1.585,00","0,00"
