Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"0,00","2.864,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2010,"1,00","2.833,00","35,30"
Tasa de intento de suicidio,Femenino,Total,2011,"0,00","2.785,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2012,"0,00","2.729,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2013,"0,00","2.677,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2014,"0,00","2.621,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2015,"0,00","2.566,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2016,"0,00","2.521,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2017,"1,00","2.468,00","40,52"
Tasa de intento de suicidio,Femenino,Total,2018,"2,00","2.416,00","82,78"
Tasa de intento de suicidio,Femenino,Total,2019,"1,00","2.888,00","34,63"
Tasa de intento de suicidio,Femenino,Total,2020,"2,00","2.947,00","67,87"
Tasa de intento de suicidio,Femenino,Total,2021,"2,00","2.996,00","66,76"
Tasa de intento de suicidio,Femenino,Total,2022,"3,00","2.962,00","101,28"
Tasa de intento de suicidio,Femenino,Total,2023,"2,00","2.996,00","66,76"
Tasa de intento de suicidio,Masculino,Total,2009,"0,00","3.075,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2010,"0,00","3.005,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2011,"0,00","2.948,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2012,"0,00","2.896,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2013,"0,00","2.844,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2014,"0,00","2.799,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2015,"0,00","2.752,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2016,"0,00","2.701,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2017,"1,00","2.651,00","37,72"
Tasa de intento de suicidio,Masculino,Total,2018,"0,00","2.605,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2019,"2,00","2.888,00","69,25"
Tasa de intento de suicidio,Masculino,Total,2020,"0,00","2.942,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2021,"1,00","2.985,00","33,50"
