Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"0,00","5.192,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2010,"0,00","5.183,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2011,"0,00","5.173,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2012,"0,00","5.155,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2013,"0,00","5.143,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2014,"0,00","5.129,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2015,"0,00","5.115,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2016,"3,00","5.105,00","58,77"
Tasa de intento de suicidio,Femenino,Total,2017,"10,00","5.095,00","196,27"
Tasa de intento de suicidio,Femenino,Total,2018,"5,00","5.089,00","98,25"
Tasa de intento de suicidio,Femenino,Total,2019,"4,00","6.610,00","60,51"
Tasa de intento de suicidio,Femenino,Total,2020,"1,00","6.669,00","14,99"
Tasa de intento de suicidio,Femenino,Total,2021,"6,00","6.784,00","88,44"
Tasa de intento de suicidio,Femenino,Total,2022,"13,00","6.929,00","187,62"
Tasa de intento de suicidio,Femenino,Total,2023,"8,00","7.009,00","114,14"
Tasa de intento de suicidio,Masculino,Total,2009,"0,00","5.795,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2010,"0,00","5.790,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2011,"0,00","5.797,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2012,"0,00","5.809,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2013,"0,00","5.813,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2014,"0,00","5.821,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2015,"0,00","5.824,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2016,"3,00","5.833,00","51,43"
Tasa de intento de suicidio,Masculino,Total,2017,"3,00","5.834,00","51,42"
Tasa de intento de suicidio,Masculino,Total,2018,"1,00","5.837,00","17,13"
Tasa de intento de suicidio,Masculino,Total,2019,"1,00","6.425,00","15,56"
Tasa de intento de suicidio,Masculino,Total,2020,"3,00","6.454,00","46,48"
