Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"0,00","6.666,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2010,"2,00","6.649,00","30,08"
Tasa de intento de suicidio,Femenino,Total,2011,"2,00","6.616,00","30,23"
Tasa de intento de suicidio,Femenino,Total,2012,"0,00","6.600,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2013,"0,00","6.577,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2014,"0,00","6.560,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2015,"0,00","6.545,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2016,"4,00","6.517,00","61,38"
Tasa de intento de suicidio,Femenino,Total,2017,"4,00","6.502,00","61,52"
Tasa de intento de suicidio,Femenino,Total,2018,"2,00","6.480,00","30,86"
Tasa de intento de suicidio,Femenino,Total,2019,"8,00","7.823,00","102,26"
Tasa de intento de suicidio,Femenino,Total,2020,"3,00","7.829,00","38,32"
Tasa de intento de suicidio,Femenino,Total,2021,"2,00","7.955,00","25,14"
Tasa de intento de suicidio,Femenino,Total,2022,"5,00","8.200,00","60,98"
Tasa de intento de suicidio,Femenino,Total,2023,"5,00","8.275,00","60,42"
Tasa de intento de suicidio,Masculino,Total,2009,"0,00","6.624,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2010,"0,00","6.590,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2011,"1,00","6.562,00","15,24"
Tasa de intento de suicidio,Masculino,Total,2012,"1,00","6.527,00","15,32"
Tasa de intento de suicidio,Masculino,Total,2013,"0,00","6.499,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2014,"0,00","6.461,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2015,"1,00","6.435,00","15,54"
Tasa de intento de suicidio,Masculino,Total,2016,"3,00","6.403,00","46,85"
Tasa de intento de suicidio,Masculino,Total,2017,"0,00","6.372,00","0,00"
