Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"0,00","9.274,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2010,"0,00","9.161,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2011,"0,00","9.048,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2012,"0,00","8.935,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2013,"1,00","8.822,00","11,34"
Tasa de intento de suicidio,Femenino,Total,2014,"2,00","8.703,00","22,98"
Tasa de intento de suicidio,Femenino,Total,2015,"0,00","8.592,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2016,"0,00","8.474,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2017,"1,00","8.360,00","11,96"
Tasa de intento de suicidio,Femenino,Total,2018,"4,00","8.244,00","48,52"
Tasa de intento de suicidio,Femenino,Total,2019,"5,00","10.738,00","46,56"
Tasa de intento de suicidio,Femenino,Total,2020,"7,00","10.798,00","64,83"
Tasa de intento de suicidio,Femenino,Total,2021,"5,00","10.943,00","45,69"
Tasa de intento de suicidio,Femenino,Total,2022,"7,00","11.092,00","63,11"
Tasa de intento de suicidio,Femenino,Total,2023,"8,00","11.179,00","71,56"
Tasa de intento de suicidio,Masculino,Total,2009,"0,00","9.278,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2010,"0,00","9.169,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2011,"1,00","9.062,00","11,04"
Tasa de intento de suicidio,Masculino,Total,2012,"0,00","8.942,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2013,"0,00","8.830,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2014,"0,00","8.721,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2015,"0,00","8.605,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2016,"2,00","8.493,00","23,55"
Tasa de intento de suicidio,Masculino,Total,2017,"9,00","8.373,00","107,49"
Tasa de intento de suicidio,Masculino,Total,2018,"3,00","8.265,00","36,30"
Tasa de intento de suicidio,Masculino,Total,2019,"4,00","11.520,00","34,72"
Tasa de intento de suicidio,Masculino,Total,2020,"7,00","11.671,00","59,98"
Tasa de intento de suicidio,Masculino,Total,2021,"5,00","11.875,00","42,11"
