Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"0,00","13.437,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2010,"0,00","13.483,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2011,"0,00","13.532,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2012,"2,00","13.574,00","14,73"
Tasa de intento de suicidio,Femenino,Total,2013,"2,00","13.614,00","14,69"
Tasa de intento de suicidio,Femenino,Total,2014,"1,00","13.662,00","7,32"
Tasa de intento de suicidio,Femenino,Total,2015,"2,00","13.693,00","14,61"
Tasa de intento de suicidio,Femenino,Total,2016,"30,00","13.728,00","218,53"
Tasa de intento de suicidio,Femenino,Total,2017,"29,00","13.761,00","210,74"
Tasa de intento de suicidio,Femenino,Total,2018,"16,00","13.787,00","116,05"
Tasa de intento de suicidio,Femenino,Total,2019,"20,00","18.863,00","106,03"
Tasa de intento de suicidio,Femenino,Total,2020,"16,00","19.208,00","83,30"
Tasa de intento de suicidio,Femenino,Total,2021,"18,00","19.548,00","92,08"
Tasa de intento de suicidio,Femenino,Total,2022,"40,00","19.779,00","202,23"
Tasa de intento de suicidio,Femenino,Total,2023,"26,00","20.002,00","129,99"
Tasa de intento de suicidio,Masculino,Total,2009,"1,00","13.238,00","7,55"
Tasa de intento de suicidio,Masculino,Total,2010,"0,00","13.271,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2011,"1,00","13.302,00","7,52"
Tasa de intento de suicidio,Masculino,Total,2012,"3,00","13.336,00","22,50"
Tasa de intento de suicidio,Masculino,Total,2013,"1,00","13.367,00","7,48"
Tasa de intento de suicidio,Masculino,Total,2014,"0,00","13.398,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2015,"0,00","13.427,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2016,"14,00","13.448,00","104,10"
Tasa de intento de suicidio,Masculino,Total,2017,"13,00","13.472,00","96,50"
Tasa de intento de suicidio,Masculino,Total,2018,"20,00","13.486,00","148,30"
Tasa de intento de suicidio,Masculino,Total,2019,"8,00","17.180,00","46,57"
Tasa de intento de suicidio,Masculino,Total,2020,"6,00","17.397,00","34,49"
Tasa de intento de suicidio,Masculino,Total,2021,"16,00","17.625,00","90,78"
Tasa de intento de suicidio,Masculino,Total,2022,"25,00","17.702,00","141,23"
Tasa de intento de suicidio,Masculino,Total,2023,"18,00","17.799,00","101,13"
Tasa de intento de suicidio,Total,De 0 a 04 años,2009,"0,00","2.287,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2010,"0,00","2.280,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2011,"0,00","2.269,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2012,"0,00","2.259,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2013,"0,00","2.253,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2014,"0,00","2.245,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2015,"0,00","2.240,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2016,"0,00","2.234,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2017,"0,00","2.226,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2018,"0,00","2.211,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2019,"0,00","3.476,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2020,"0,00","3.495,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2021,"0,00","3.494,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2022,"0,00","3.362,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2023,"0,00","3.298,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2009,"0,00","2.363,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2010,"0,00","2.311,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2011,"0,00","2.277,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2012,"0,00","2.249,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2013,"0,00","2.231,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2014,"0,00","2.220,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2015,"0,00","2.216,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2016,"0,00","2.211,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2017,"1,00","2.205,00","45,35"
