Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"4,00","18.658,00","21,44"
Tasa de intento de suicidio,Femenino,Total,2010,"12,00","18.500,00","64,86"
Tasa de intento de suicidio,Femenino,Total,2011,"3,00","18.333,00","16,36"
Tasa de intento de suicidio,Femenino,Total,2012,"7,00","18.169,00","38,53"
Tasa de intento de suicidio,Femenino,Total,2013,"1,00","18.000,00","5,56"
Tasa de intento de suicidio,Femenino,Total,2014,"1,00","17.819,00","5,61"
Tasa de intento de suicidio,Femenino,Total,2015,"2,00","17.651,00","11,33"
Tasa de intento de suicidio,Femenino,Total,2016,"6,00","17.470,00","34,34"
Tasa de intento de suicidio,Femenino,Total,2017,"19,00","17.292,00","109,88"
Tasa de intento de suicidio,Femenino,Total,2018,"13,00","17.116,00","75,95"
Tasa de intento de suicidio,Femenino,Total,2019,"25,00","18.116,00","138,00"
Tasa de intento de suicidio,Femenino,Total,2020,"15,00","18.202,00","82,41"
Tasa de intento de suicidio,Femenino,Total,2021,"27,00","18.472,00","146,17"
Tasa de intento de suicidio,Femenino,Total,2022,"22,00","18.820,00","116,90"
Tasa de intento de suicidio,Femenino,Total,2023,"26,00","18.989,00","136,92"
Tasa de intento de suicidio,Masculino,Total,2009,"2,00","18.794,00","10,64"
Tasa de intento de suicidio,Masculino,Total,2010,"2,00","18.616,00","10,74"
Tasa de intento de suicidio,Masculino,Total,2011,"4,00","18.448,00","21,68"
Tasa de intento de suicidio,Masculino,Total,2012,"5,00","18.276,00","27,36"
Tasa de intento de suicidio,Masculino,Total,2013,"2,00","18.104,00","11,05"
Tasa de intento de suicidio,Masculino,Total,2014,"1,00","17.931,00","5,58"
Tasa de intento de suicidio,Masculino,Total,2015,"0,00","17.754,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2016,"12,00","17.586,00","68,24"
Tasa de intento de suicidio,Masculino,Total,2017,"19,00","17.404,00","109,17"
Tasa de intento de suicidio,Masculino,Total,2018,"15,00","17.223,00","87,09"
Tasa de intento de suicidio,Masculino,Total,2019,"15,00","18.278,00","82,07"
Tasa de intento de suicidio,Masculino,Total,2020,"11,00","18.423,00","59,71"
Tasa de intento de suicidio,Masculino,Total,2021,"16,00","18.721,00","85,47"
Tasa de intento de suicidio,Masculino,Total,2022,"15,00","19.030,00","78,82"
Tasa de intento de suicidio,Masculino,Total,2023,"11,00","19.214,00","57,25"
Tasa de intento de suicidio,Total,De 0 a 04 años,2009,"0,00","3.386,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2010,"0,00","3.292,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2011,"0,00","3.246,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2012,"0,00","3.205,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2013,"0,00","3.166,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2014,"0,00","3.124,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2015,"0,00","3.081,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2016,"0,00","3.036,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2017,"0,00","2.980,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2018,"0,00","2.920,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2019,"0,00","2.725,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2020,"0,00","2.712,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2021,"0,00","2.696,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2022,"0,00","2.610,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2023,"0,00","2.561,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2009,"0,00","3.424,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2010,"0,00","3.428,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2011,"0,00","3.406,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2012,"0,00","3.383,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2013,"0,00","3.351,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2014,"0,00","3.299,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2015,"0,00","3.210,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2016,"0,00","3.177,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2017,"0,00","3.142,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2018,"0,00","3.107,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2019,"1,00","2.878,00","34,75"
Tasa de intento de suicidio,Total,De 05 a 09 años,2020,"0,00","2.871,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2021,"0,00","2.885,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2022,"0,00","2.868,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2023,"0,00","2.863,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2009,"0,00","3.867,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2010,"2,00","3.654,00","54,73"
Tasa de intento de suicidio,Total,De 10 a 14 años,2011,"0,00","3.473,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2012,"1,00","3.329,00","30,04"
Tasa de intento de suicidio,Total,De 10 a 14 años,2013,"0,00","3.224,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2014,"0,00","3.174,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2015,"1,00","3.183,00","31,42"
Tasa de intento de suicidio,Total,De 10 a 14 años,2016,"2,00","3.177,00","62,95"
Tasa de intento de suicidio,Total,De 10 a 14 años,2017,"3,00","3.175,00","94,49"
Tasa de intento de suicidio,Total,De 10 a 14 años,2018,"2,00","3.162,00","63,25"
Tasa de intento de suicidio,Total,De 10 a 14 años,2019,"5,00","3.094,00","161,60"
Tasa de intento de suicidio,Total,De 10 a 14 años,2020,"4,00","3.075,00","130,08"
Tasa de intento de suicidio,Total,De 10 a 14 años,2021,"9,00","3.080,00","292,21"
Tasa de intento de suicidio,Total,De 10 a 14 años,2022,"3,00","3.009,00","99,70"
Tasa de intento de suicidio,Total,De 10 a 14 años,2023,"3,00","2.996,00","100,13"
Tasa de intento de suicidio,Total,De 15 a 19 años,2009,"3,00","4.299,00","69,78"
Tasa de intento de suicidio,Total,De 15 a 19 años,2010,"7,00","4.211,00","166,23"
Tasa de intento de suicidio,Total,De 15 a 19 años,2011,"5,00","4.070,00","122,85"
Tasa de intento de suicidio,Total,De 15 a 19 años,2012,"7,00","3.877,00","180,55"
Tasa de intento de suicidio,Total,De 15 a 19 años,2013,"0,00","3.659,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2014,"2,00","3.444,00","58,07"
Tasa de intento de suicidio,Total,De 15 a 19 años,2015,"1,00","3.257,00","30,70"
Tasa de intento de suicidio,Total,De 15 a 19 años,2016,"3,00","3.096,00","96,90"
Tasa de intento de suicidio,Total,De 15 a 19 años,2017,"15,00","2.972,00","504,71"
Tasa de intento de suicidio,Total,De 15 a 19 años,2018,"8,00","2.895,00","276,34"
Tasa de intento de suicidio,Total,De 15 a 19 años,2019,"14,00","3.177,00","440,67"
Tasa de intento de suicidio,Total,De 15 a 19 años,2020,"5,00","3.135,00","159,49"
Tasa de intento de suicidio,Total,De 15 a 19 años,2021,"14,00","3.123,00","448,29"
Tasa de intento de suicidio,Total,De 15 a 19 años,2022,"16,00","3.002,00","532,98"
Tasa de intento de suicidio,Total,De 15 a 19 años,2023,"10,00","2.966,00","337,15"
Tasa de intento de suicidio,Total,De 20 a 24 años,2009,"1,00","3.536,00","28,28"
Tasa de intento de suicidio,Total,De 20 a 24 años,2010,"1,00","3.614,00","27,67"
Tasa de intento de suicidio,Total,De 20 a 24 años,2011,"1,00","3.676,00","27,20"
Tasa de intento de suicidio,Total,De 20 a 24 años,2012,"3,00","3.724,00","80,56"
Tasa de intento de suicidio,Total,De 20 a 24 años,2013,"1,00","3.746,00","26,70"
Tasa de intento de suicidio,Total,De 20 a 24 años,2014,"0,00","3.720,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2015,"0,00","3.643,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2016,"4,00","3.516,00","113,77"
Tasa de intento de suicidio,Total,De 20 a 24 años,2017,"6,00","3.345,00","179,37"
Tasa de intento de suicidio,Total,De 20 a 24 años,2018,"7,00","3.156,00","221,80"
Tasa de intento de suicidio,Total,De 20 a 24 años,2019,"4,00","2.927,00","136,66"
Tasa de intento de suicidio,Total,De 20 a 24 años,2020,"4,00","2.904,00","137,74"
Tasa de intento de suicidio,Total,De 20 a 24 años,2021,"5,00","2.900,00","172,41"
Tasa de intento de suicidio,Total,De 20 a 24 años,2022,"6,00","2.865,00","209,42"
Tasa de intento de suicidio,Total,De 20 a 24 años,2023,"9,00","2.811,00","320,17"
Tasa de intento de suicidio,Total,De 25 a 29 años,2009,"0,00","2.718,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2010,"1,00","2.728,00","36,66"
Tasa de intento de suicidio,Total,De 25 a 29 años,2011,"0,00","2.776,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2012,"1,00","2.854,00","35,04"
Tasa de intento de suicidio,Total,De 25 a 29 años,2013,"0,00","2.952,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2014,"0,00","3.040,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2015,"0,00","3.111,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2016,"4,00","3.159,00","126,62"
Tasa de intento de suicidio,Total,De 25 a 29 años,2017,"3,00","3.195,00","93,90"
Tasa de intento de suicidio,Total,De 25 a 29 años,2018,"3,00","3.209,00","93,49"
Tasa de intento de suicidio,Total,De 25 a 29 años,2019,"5,00","2.703,00","184,98"
Tasa de intento de suicidio,Total,De 25 a 29 años,2020,"3,00","2.713,00","110,58"
Tasa de intento de suicidio,Total,De 25 a 29 años,2021,"6,00","2.741,00","218,90"
Tasa de intento de suicidio,Total,De 25 a 29 años,2022,"4,00","2.876,00","139,08"
Tasa de intento de suicidio,Total,De 25 a 29 años,2023,"9,00","2.885,00","311,96"
Tasa de intento de suicidio,Total,De 30 a 34 años,2009,"2,00","2.576,00","77,64"
Tasa de intento de suicidio,Total,De 30 a 34 años,2010,"2,00","2.543,00","78,65"
Tasa de intento de suicidio,Total,De 30 a 34 años,2011,"0,00","2.500,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2012,"0,00","2.443,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2013,"2,00","2.388,00","83,75"
Tasa de intento de suicidio,Total,De 30 a 34 años,2014,"0,00","2.361,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2015,"0,00","2.371,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2016,"0,00","2.409,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2017,"4,00","2.474,00","161,68"
Tasa de intento de suicidio,Total,De 30 a 34 años,2018,"2,00","2.555,00","78,28"
Tasa de intento de suicidio,Total,De 30 a 34 años,2019,"4,00","2.601,00","153,79"
Tasa de intento de suicidio,Total,De 30 a 34 años,2020,"3,00","2.625,00","114,29"
Tasa de intento de suicidio,Total,De 30 a 34 años,2021,"2,00","2.677,00","74,71"
Tasa de intento de suicidio,Total,De 30 a 34 años,2022,"1,00","2.870,00","34,84"
Tasa de intento de suicidio,Total,De 30 a 34 años,2023,"4,00","2.936,00","136,24"
Tasa de intento de suicidio,Total,De 35 a 39 años,2009,"0,00","2.363,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2010,"0,00","2.304,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2011,"1,00","2.265,00","44,15"
Tasa de intento de suicidio,Total,De 35 a 39 años,2012,"1,00","2.248,00","44,48"
Tasa de intento de suicidio,Total,De 35 a 39 años,2013,"0,00","2.238,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2014,"0,00","2.221,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2015,"0,00","2.193,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2016,"1,00","2.150,00","46,51"
Tasa de intento de suicidio,Total,De 35 a 39 años,2017,"2,00","2.099,00","95,28"
Tasa de intento de suicidio,Total,De 35 a 39 años,2018,"2,00","2.050,00","97,56"
Tasa de intento de suicidio,Total,De 35 a 39 años,2019,"1,00","2.568,00","38,94"
Tasa de intento de suicidio,Total,De 35 a 39 años,2020,"5,00","2.586,00","193,35"
Tasa de intento de suicidio,Total,De 35 a 39 años,2021,"2,00","2.619,00","76,37"
Tasa de intento de suicidio,Total,De 35 a 39 años,2022,"2,00","2.760,00","72,46"
Tasa de intento de suicidio,Total,De 35 a 39 años,2023,"3,00","2.807,00","106,88"
Tasa de intento de suicidio,Total,De 40 a 44 años,2009,"0,00","2.418,00","0,00"
Tasa de intento de suicidio,Total,De 40 a 44 años,2010,"0,00","2.360,00","0,00"
Tasa de intento de suicidio,Total,De 40 a 44 años,2011,"0,00","2.290,00","0,00"
Tasa de intento de suicidio,Total,De 40 a 44 años,2012,"0,00","2.209,00","0,00"
Tasa de intento de suicidio,Total,De 40 a 44 años,2013,"0,00","2.127,00","0,00"
Tasa de intento de suicidio,Total,De 40 a 44 años,2014,"0,00","2.055,00","0,00"
Tasa de intento de suicidio,Total,De 40 a 44 años,2015,"0,00","2.005,00","0,00"
Tasa de intento de suicidio,Total,De 40 a 44 años,2016,"1,00","1.970,00","50,76"
Tasa de intento de suicidio,Total,De 40 a 44 años,2017,"0,00","1.951,00","0,00"
Tasa de intento de suicidio,Total,De 40 a 44 años,2018,"2,00","1.939,00","103,15"
Tasa de intento de suicidio,Total,De 40 a 44 años,2019,"2,00","2.229,00","89,73"
Tasa de intento de suicidio,Total,De 40 a 44 años,2020,"2,00","2.285,00","87,53"
Tasa de intento de suicidio,Total,De 40 a 44 años,2021,"0,00","2.370,00","0,00"
Tasa de intento de suicidio,Total,De 40 a 44 años,2022,"2,00","2.544,00","78,62"
Tasa de intento de suicidio,Total,De 40 a 44 años,2023,"0,00","2.625,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2009,"0,00","2.079,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2010,"1,00","2.134,00","46,86"
Tasa de intento de suicidio,Total,De 45 a 49 años,2011,"0,00","2.163,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2012,"0,00","2.170,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2013,"0,00","2.154,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2014,"0,00","2.121,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2015,"0,00","2.071,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2016,"0,00","2.009,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2017,"2,00","1.937,00","103,25"
Tasa de intento de suicidio,Total,De 45 a 49 años,2018,"0,00","1.865,00","0,00"
